Speech File,Min Pitch,Max Pitch,Mean Pitch,Sd Pitch,Min Intensity,Max Intensity,Mean Intensity,Sd Intensity,Speaking Rate,Jitter,Shimmer,HNR
Happy,94.4538209402157,325.1003428380743,231.65616945114087,31.117677211473517,42.10811514393278,85.51233556031761,75.89158218380405,8.492931266842808,195.62602546129762,0.02059369916958747,0.08260773983996349,13.343547803181098
Angry,87.1047957825513,280.2300478458665,212.37009145308824,28.229172437809737,34.216377616851524,82.69883625761592,75.13959822624554,9.32876514462874,157.85951442207926,0.01756972408913596,0.0843183247033212,12.610237907775295
Sad,93.71803081818103,330.76765118724416,238.65591918683765,36.32752729449353,42.93933628595898,81.07613923228624,70.63662256217572,8.300775843053142,161.96107058167422,0.023220847809589544,0.09597801083812088,12.026105516726357
Afraid,105.10388504917651,341.6309689925263,260.48107300960146,40.16608185127065,38.73357634180338,82.98302189146357,70.10062518802285,8.808301938735102,154.13688007381793,0.021845130095248425,0.10191312983725151,12.562227987710887
Surprised,202.52269130921147,376.4828344452179,245.12011819364753,31.967534947390973,40.67419162878831,84.10363212169152,72.59694120643802,9.005545490901108,168.664842899259,0.0197129171998331,0.07775129641267024,14.874140359505896
Disgusted,89.78191707136232,599.443937994644,216.8435575930807,58.014912056646835,33.20854987894302,83.00224087712289,72.57018598172577,10.908245667660696,132.0514791163031,0.019929575924202744,0.09318525708878826,11.949716055035907
Neutral,89.2727523726996,271.3634301178494,211.69319450998367,23.026044329994477,42.23886663310749,78.85338222671041,71.23727636044154,7.218447020112256,187.7379266305905,0.018133135510987747,0.08324226891797581,12.945135693489586
